Step	Training Loss
1	0.907500
2	0.750300
3	0.862700
4	1.034200
5	0.815800
6	1.030000
7	0.788200
8	0.853400
9	0.904000
10	0.945100
11	0.802000
12	1.045300
13	0.974900
14	1.004300
15	0.967900
16	1.197900
17	1.025900
18	1.014400
19	0.885200
20	1.006300
21	0.981800
22	1.038700
23	1.073400
24	0.993600
25	0.941600
26	1.110200
27	0.996100
28	1.103900
29	1.079600
30	1.050700
31	1.083000
32	1.031200
33	0.928500
34	1.215900
35	1.032800
36	1.037600
37	1.149200
38	1.033800
39	1.073500
40	0.857000
41	1.175200
42	1.028700
43	1.137300
44	0.999700
45	1.069500
46	0.931800
47	1.039400
48	1.119400
49	1.013400
50	1.062300
51	0.923600
52	1.000400
53	0.951800
54	0.900300
55	1.000100
56	0.952300
57	0.949800
58	0.950400
59	0.847200
60	0.811200
61	0.998100
62	0.955700
63	1.152200
64	1.035500
65	1.091000
66	0.983200
67	0.938300
68	1.067300
69	1.057200
70	0.908800
71	1.231200
72	1.136600
73	0.832500
74	1.126800
75	1.086300
76	0.920000
77	0.980300
78	1.223300
79	1.041900
80	1.203100
81	1.151300
82	1.163000
83	0.913600
84	0.834100
85	1.162900
86	1.102000
87	1.020300
88	0.832000
89	1.014600
90	1.182900
91	0.988800
92	0.983800
93	1.083600
94	0.981300
95	0.983700
96	1.007200
97	1.121000
98	1.028000
99	1.150500
100	1.197400
101	0.941000
102	0.790500
103	0.827200
104	0.806100
105	0.905800
106	0.958400
107	0.978100
108	1.071800
109	0.833900
110	0.965900
111	0.944000
112	1.157700
113	0.886500
114	1.061500
115	0.840500
116	1.207400
117	0.952700
118	1.120600
119	0.947400
120	0.958300
121	0.906900
122	1.099800
123	0.940800
124	0.997100
125	1.075200
126	1.110600
127	0.953900
128	1.046900
129	0.908100
130	0.856100
131	0.910200
132	1.090200
133	1.040000
134	1.005700
135	1.022900
136	0.976100
137	1.038500
138	1.210700
139	1.026400
140	1.050600
141	0.800100
142	1.127900
143	1.120900
144	0.798300
145	0.969200
146	1.143300
147	1.211900
148	1.147600
149	1.062500
150	1.221500
151	1.024400
152	0.996300
153	0.955900
154	1.012600
155	0.988600
156	0.969100
157	1.018400
158	1.012600
159	1.163700
160	0.811800
161	0.988900
162	1.001900
163	1.038900
164	0.952600
165	0.953100
166	1.043400
167	1.095200
168	1.029300
169	0.914100
170	1.159000
171	1.054300
172	0.983400
173	1.017100
174	1.265900
175	0.907500
176	1.079700
177	0.785400
178	0.933700
179	1.117000
180	1.135900
181	0.842600
182	0.887900
183	1.133300
184	1.005600
185	0.980500
186	1.087000
187	1.013800
188	1.196900
189	1.134200
190	0.941300
191	1.103400
192	1.208500
193	0.995300
194	1.008900
195	1.096000
196	0.940400
197	1.231200
198	1.047100
199	1.184200
200	0.915200
201	0.736700
202	0.888200
203	1.019000
204	0.966600
205	1.002800
206	0.915300
207	0.735700
208	0.846700
209	0.884800
210	1.017000
211	0.897500
212	0.867300
213	1.052300
214	0.998800
215	0.932100
216	0.885500
217	1.012800
218	0.965500
219	0.999600
220	1.019100
221	1.115900
222	0.916100
223	1.032600
224	1.011900
225	1.040200
226	0.967000
227	0.967700
228	1.014600
229	0.798100
230	0.995200
231	0.940500
232	0.910500
233	0.914700
234	0.988800
235	0.939600
236	1.048000
237	0.918500
238	0.881100
239	1.111200
240	0.998100
241	0.982100
242	1.052300
243	1.034500
244	1.051400
245	1.190800
246	0.988400
247	1.333400
248	1.183500
249	1.138400
250	1.086200
251	0.904400
252	0.865700
253	0.953800
254	0.867000
255	0.928500
256	0.984200
257	0.850200
258	0.931000
259	0.942100
260	1.014200
261	0.989800
262	0.920100
263	0.955400
264	0.822000
265	0.836900
266	0.954300
267	0.905900
268	1.012400
269	0.892100
270	0.870400
271	1.000500
272	0.988800
273	0.938300
274	0.896800
275	0.975000
276	0.911600
277	1.069800
278	1.041600
